2026-08-11 10:51:03,958 | INFO | hyde.loogle.runner | Prepared frozen musique_32k population documents=45 chunks=3100 labeled_queries=900
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=1/900 cache_hits=1
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=10/900 cache_hits=10
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=20/900 cache_hits=20
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=30/900 cache_hits=30
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=40/900 cache_hits=40
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=50/900 cache_hits=50
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=60/900 cache_hits=60
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=70/900 cache_hits=70
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=80/900 cache_hits=80
2026-08-11 10:51:04,030 | INFO | hyde.loogle.runner | HyDE generation progress queries=90/900 cache_hits=90
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=100/900 cache_hits=100
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=110/900 cache_hits=110
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=120/900 cache_hits=120
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=130/900 cache_hits=130
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=140/900 cache_hits=140
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=150/900 cache_hits=150
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=160/900 cache_hits=160
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=170/900 cache_hits=170
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=180/900 cache_hits=180
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=190/900 cache_hits=190
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=200/900 cache_hits=200
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=210/900 cache_hits=210
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=220/900 cache_hits=220
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=230/900 cache_hits=230
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=240/900 cache_hits=240
2026-08-11 10:51:04,031 | INFO | hyde.loogle.runner | HyDE generation progress queries=250/900 cache_hits=250
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=260/900 cache_hits=260
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=270/900 cache_hits=270
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=280/900 cache_hits=280
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=290/900 cache_hits=290
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=300/900 cache_hits=300
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=310/900 cache_hits=310
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=320/900 cache_hits=320
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=330/900 cache_hits=330
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=340/900 cache_hits=340
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=350/900 cache_hits=350
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=360/900 cache_hits=360
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=370/900 cache_hits=370
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=380/900 cache_hits=380
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=390/900 cache_hits=390
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=400/900 cache_hits=400
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=410/900 cache_hits=410
2026-08-11 10:51:04,032 | INFO | hyde.loogle.runner | HyDE generation progress queries=420/900 cache_hits=420
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=430/900 cache_hits=430
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=440/900 cache_hits=440
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=450/900 cache_hits=450
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=460/900 cache_hits=460
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=470/900 cache_hits=470
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=480/900 cache_hits=480
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=490/900 cache_hits=490
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=500/900 cache_hits=500
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=510/900 cache_hits=510
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=520/900 cache_hits=520
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=530/900 cache_hits=530
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=540/900 cache_hits=540
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=550/900 cache_hits=550
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=560/900 cache_hits=560
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=570/900 cache_hits=570
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=580/900 cache_hits=580
2026-08-11 10:51:04,033 | INFO | hyde.loogle.runner | HyDE generation progress queries=590/900 cache_hits=590
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=600/900 cache_hits=600
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=610/900 cache_hits=610
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=620/900 cache_hits=620
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=630/900 cache_hits=630
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=640/900 cache_hits=640
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=650/900 cache_hits=650
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=660/900 cache_hits=660
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=670/900 cache_hits=670
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=680/900 cache_hits=680
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=690/900 cache_hits=690
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=700/900 cache_hits=700
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=710/900 cache_hits=710
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=720/900 cache_hits=720
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=730/900 cache_hits=730
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=740/900 cache_hits=740
2026-08-11 10:51:04,034 | INFO | hyde.loogle.runner | HyDE generation progress queries=750/900 cache_hits=750
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=760/900 cache_hits=760
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=770/900 cache_hits=770
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=780/900 cache_hits=780
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=790/900 cache_hits=790
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=800/900 cache_hits=800
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=810/900 cache_hits=810
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=820/900 cache_hits=820
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=830/900 cache_hits=830
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=840/900 cache_hits=840
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=850/900 cache_hits=850
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=860/900 cache_hits=860
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=870/900 cache_hits=870
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=880/900 cache_hits=880
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=890/900 cache_hits=890
2026-08-11 10:51:04,035 | INFO | hyde.loogle.runner | HyDE generation progress queries=900/900 cache_hits=900
/home/iataghav/SAADI_hyde/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
`torch_dtype` is deprecated! Use `dtype` instead!
2026-08-11 10:51:09,456 | WARNING | transformers_modules.jinaai.xlm_hyphen_roberta_hyphen_flash_hyphen_implementation.845308d0fd72a8406a3e378450e1a09522790419.modeling_xlm_roberta | flash_attn is not installed. Using PyTorch native attention implementation.
2026-08-11 10:51:09,456 | WARNING | transformers_modules.jinaai.xlm_hyphen_roberta_hyphen_flash_hyphen_implementation.845308d0fd72a8406a3e378450e1a09522790419.modeling_xlm_roberta | flash_attn is not installed. Using PyTorch native attention implementation.
2026-08-11 10:51:09,458 | WARNING | transformers_modules.jinaai.xlm_hyphen_roberta_hyphen_flash_hyphen_implementation.845308d0fd72a8406a3e378450e1a09522790419.modeling_xlm_roberta | flash_attn is not installed. Using PyTorch native attention implementation.
